 STUDY_ID,SAMPLE_ID,F2
nsclc_tcga_broad_2016,TCGA-NJ-A4YQ-01,-1
nsclc_tcga_broad_2016,TCGA-NJ-A4YP-01,0
nsclc_tcga_broad_2016,TCGA-NJ-A4YI-01,0
nsclc_tcga_broad_2016,TCGA-NJ-A4YG-01,0
nsclc_tcga_broad_2016,TCGA-NJ-A4YF-01,0
nsclc_tcga_broad_2016,TCGA-MP-A5C7-01,0
nsclc_tcga_broad_2016,TCGA-MP-A4TK-01,1
nsclc_tcga_broad_2016,TCGA-MP-A4TJ-01,1
nsclc_tcga_broad_2016,TCGA-MP-A4TI-01,0
nsclc_tcga_broad_2016,TCGA-MP-A4TH-01,0
nsclc_tcga_broad_2016,TCGA-MP-A4TF-01,-1
nsclc_tcga_broad_2016,TCGA-MP-A4TE-01,-1
nsclc_tcga_broad_2016,TCGA-MP-A4TD-01,0
nsclc_tcga_broad_2016,TCGA-MP-A4TC-01,-1
nsclc_tcga_broad_2016,TCGA-MP-A4TA-01,1
nsclc_tcga_broad_2016,TCGA-MP-A4T9-01,0
nsclc_tcga_broad_2016,TCGA-MP-A4T8-01,-1
nsclc_tcga_broad_2016,TCGA-MP-A4T7-01,0
nsclc_tcga_broad_2016,TCGA-MP-A4T6-01,1
nsclc_tcga_broad_2016,TCGA-MP-A4T4-01,0
nsclc_tcga_broad_2016,TCGA-MP-A4T2-01,-1
nsclc_tcga_broad_2016,TCGA-MP-A4SW-01,0
nsclc_tcga_broad_2016,TCGA-MN-A4N5-01,0
nsclc_tcga_broad_2016,TCGA-MN-A4N4-01,1
nsclc_tcga_broad_2016,TCGA-MN-A4N1-01,-1
nsclc_tcga_broad_2016,TCGA-L9-A8F4-01,-1
nsclc_tcga_broad_2016,TCGA-L9-A7SV-01,-1
nsclc_tcga_broad_2016,TCGA-L9-A5IP-01,0
nsclc_tcga_broad_2016,TCGA-L9-A50W-01,0
nsclc_tcga_broad_2016,TCGA-L9-A444-01,0
nsclc_tcga_broad_2016,TCGA-L9-A443-01,1
nsclc_tcga_broad_2016,TCGA-L4-A4E5-01,-1
nsclc_tcga_broad_2016,TCGA-J2-A4AG-01,0
nsclc_tcga_broad_2016,TCGA-J2-A4AE-01,0
nsclc_tcga_broad_2016,TCGA-J2-A4AD-01,-1
nsclc_tcga_broad_2016,TCGA-J2-8194-01,0
nsclc_tcga_broad_2016,TCGA-J2-8192-01,0
nsclc_tcga_broad_2016,TCGA-99-AA5R-01,0
nsclc_tcga_broad_2016,TCGA-99-8033-01,-1
nsclc_tcga_broad_2016,TCGA-99-8032-01,1
nsclc_tcga_broad_2016,TCGA-99-8028-01,0
nsclc_tcga_broad_2016,TCGA-99-8025-01,0
nsclc_tcga_broad_2016,TCGA-99-7458-01,0
nsclc_tcga_broad_2016,TCGA-97-A4M7-01,0
nsclc_tcga_broad_2016,TCGA-97-A4M6-01,0
nsclc_tcga_broad_2016,TCGA-97-A4M5-01,0
nsclc_tcga_broad_2016,TCGA-97-A4M3-01,0
nsclc_tcga_broad_2016,TCGA-97-A4M2-01,0
nsclc_tcga_broad_2016,TCGA-97-A4M1-01,0
nsclc_tcga_broad_2016,TCGA-97-A4M0-01,0
nsclc_tcga_broad_2016,TCGA-97-A4LX-01,0
nsclc_tcga_broad_2016,TCGA-97-8552-01,0
nsclc_tcga_broad_2016,TCGA-97-8547-01,0
nsclc_tcga_broad_2016,TCGA-97-8179-01,0
nsclc_tcga_broad_2016,TCGA-97-8177-01,1
nsclc_tcga_broad_2016,TCGA-97-8176-01,0
nsclc_tcga_broad_2016,TCGA-97-8175-01,0
nsclc_tcga_broad_2016,TCGA-97-8174-01,-1
nsclc_tcga_broad_2016,TCGA-97-8172-01,0
nsclc_tcga_broad_2016,TCGA-97-8171-01,0
nsclc_tcga_broad_2016,TCGA-97-7941-01,0
nsclc_tcga_broad_2016,TCGA-97-7938-01,0
nsclc_tcga_broad_2016,TCGA-97-7937-01,1
nsclc_tcga_broad_2016,TCGA-97-7554-01,0
nsclc_tcga_broad_2016,TCGA-97-7553-01,-1
nsclc_tcga_broad_2016,TCGA-97-7552-01,0
nsclc_tcga_broad_2016,TCGA-97-7547-01,0
nsclc_tcga_broad_2016,TCGA-97-7546-01,0
nsclc_tcga_broad_2016,TCGA-95-A4VP-01,0
nsclc_tcga_broad_2016,TCGA-95-A4VN-01,0
nsclc_tcga_broad_2016,TCGA-95-A4VK-01,0
nsclc_tcga_broad_2016,TCGA-95-8494-01,-1
nsclc_tcga_broad_2016,TCGA-95-8039-01,-1
nsclc_tcga_broad_2016,TCGA-95-7948-01,0
